```plaintext
Ana_Baslik: IE3
Alt_Baslik: ALÜMİNYUM GÖVDELİ IEC 3~FAZLI ASENKRON ELEKTRİK MOTORLARI
Açıklama: B3 kurulumu düzeninde, tam kapalı IP55, S1 sürekli çalışma, IC411 yüzeyden soğutmalı, F izolasyon sınıfı, IE3 premium verimli, sincap kafesli, alüminyum gövdeli elektrik motorları

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 80MA2   | 2k-3000 d/dak. | 110,00      |
| 3MAS 80MB2   | 2k-3000 d/dak. | 122,00      |
| 3MAS 90SA2   | 2k-3000 d/dak. | 152,00      |
| 3MAS 90LA2   | 2k-3000 d/dak. | 183,00      |
| 3MAS 100LA2  | 2k-3000 d/dak. | 237,00      |
| 3MAS 112MA2  | 2k-3000 d/dak. | 303,00      |
| 3MAS 132SA2  | 2k-3000 d/dak. | 435,00      |
| 3MAS 132SB2  | 2k-3000 d/dak. | 481,00      |
| 3MAS 160MA2  | 2k-3000 d/dak. | 741,00      |
| 3MAS 160MB2  | 2k-3000 d/dak. | 832,00      |
| 3MAS 160LA2  | 2k-3000 d/dak. | 923,00      |
| 3MAS 180MA2  | 2k-3000 d/dak. | 1.180,00    |
| 3MAS 200LA2  | 2k-3000 d/dak. | 1.734,00    |
| 3MAS 200LB2  | 2k-3000 d/dak. | 1.928,00    |
| 3MAS 225MA2  | 2k-3000 d/dak. | 2.245,00    |
| 3MAS 250MA2  | 2k-3000 d/dak. | 3.150,00    |

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 80MA4   | 4k-1500 d/dak. | 128,00      |
| 3MAS 80MB4   | 4k-1500 d/dak. | 142,00      |
| 3MAS 90SA4   | 4k-1500 d/dak. | 175,00      |
| 3MAS 90LA4   | 4k-1500 d/dak. | 206,00      |
| 3MAS 100LA4  | 4k-1500 d/dak. | 250,00      |
| 3MAS 100LB4  | 4k-1500 d/dak. | 285,00      |
| 3MAS 112MA4  | 4k-1500 d/dak. | 358,00      |
| 3MAS 132SA4  | 4k-1500 d/dak. | 447,00      |
| 3MAS 132MA4  | 4k-1500 d/dak. | 521,00      |
| 3MAS 160MA4  | 4k-1500 d/dak. | 835,00      |
| 3MAS 160LA4  | 4k-1500 d/dak. | 998,00      |
| 3MAS 180MA4  | 4k-1500 d/dak. | 1.155,00    |
| 3MAS 180LA4  | 4k-1500 d/dak. | 1.400,00    |
| 3MAS 200LA4  | 4k-1500 d/dak. | 1.703,00    |
| 3MAS 225SA4  | 4k-1500 d/dak. | 2.057,00    |
| 3MAS 225MA4  | 4k-1500 d/dak. | 2.222,00    |
| 3MAS 250MA4  | 4k-1500 d/dak. | 2.980,00    |

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 80MB6   | 6k-1000 d/dak. | 134,00      |
| 3MAS 90SA6   | 6k-1000 d/dak. | 162,00      |
| 3MAS 90LA6   | 6k-1000 d/dak. | 192,00      |
| 3MAS 100LA6  | 6k-1000 d/dak. | 238,00      |
| 3MAS 112MA6  | 6k-1000 d/dak. | 303,00      |
| 3MAS 132SA6  | 6k-1000 d/dak. | 401,00      |
| 3MAS 132MA6  | 6k-1000 d/dak. | 461,00      |
| 3MAS 132MB6  | 6k-1000 d/dak. | 553,00      |
| 3MAS 160MA6  | 6k-1000 d/dak. | 773,00      |
| 3MAS 160LA6  | 6k-1000 d/dak. | 942,00      |
| 3MAS 180LA6  | 6k-1000 d/dak. | 1.146,00    |
| 3MAS 200LA6  | 6k-1000 d/dak. | 1.400,00    |
| 3MAS 200LB6  | 6k-1000 d/dak. | 1.595,00    |
| 3MAS 225MA6  | 6k-1000 d/dak. | 2.129,00    |
| 3MAS 250MA6  | 6k-1000 d/dak. | 2.765,00    |

Ana_Baslik: ALÜMİNYUM GÖVDELİ KOMPAKT MOTORLAR

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 80MK2   | 2k-3000 d/dak. | 146,00      |
| 3MAS 90LK2   | 2k-3000 d/dak. | 213,00      |
| 3MAS 100LK2  | 2k-3000 d/dak. | 286,00      |
| 3MAS 112MK2  | 2k-3000 d/dak. | 378,00      |
| 3MAS 132MK2  | 2k-3000 d/dak. | 647,00      |
| 3MAS 160LK2  | 2k-3000 d/dak. | 1.163,00    |
| 3MAS 180LK2  | 2k-3000 d/dak. | 1.694,00    |
| 3MAS 200LK2  | 2k-3000 d/dak. | 2.231,00    |
| 3MAS 225MK2  | 2k-3000 d/dak. | 2.889,00    |

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 112MK4  | 4k-1500 d/dak. | 419,00      |
| 3MAS 132MK4  | 4k-1500 d/dak. | 796,00      |
| 3MAS 160LK4  | 4k-1500 d/dak. | 1.090,00    |
| 3MAS 180LK4  | 4k-1500 d/dak. | 1.607,00    |
| 3MAS 200LK4  | 4k-1500 d/dak. | 1.949,00    |
| 3MAS 225MK4  | 4k-1500 d/dak. | 2.748,00    |

| Malzeme_Kodu | Açıklama     | Fiyat (USD) |
|--------------|--------------|-------------|
| 3MAS 225MK6  | 6k-1000 d/dak. | 2.847,00    |
```
